trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1003,0:19:00,0:19:00,10,10,,,,,,,
1003,0:16:45,0:16:45,9,9,,,,,,,
1003,0:15:45,0:15:45,8,8,,,,,,,
1003,0:14:00,0:14:00,7,7,,,,,,,
1003,0:11:45,0:11:45,6,6,,,,,,,
1003,0:10:15,0:10:15,5,5,,,,,,,
1003,0:08:45,0:08:45,4,4,,,,,,,
1003,0:07:15,0:07:15,3,3,,,,,,,
1003,0:05:45,0:05:45,2,2,,,,,,,
1003,0:04:00,0:04:00,1,1,,,,,,,
1002,0:17:00,0:17:00,10,10,,,,,,,
1002,0:14:45,0:14:45,9,9,,,,,,,
1002,0:13:45,0:13:45,8,8,,,,,,,
1002,0:12:00,0:12:00,7,7,,,,,,,
1002,0:10:45,0:10:45,6,6,,,,,,,
1002,0:08:15,0:08:15,5,5,,,,,,,
1002,0:06:45,0:06:45,4,4,,,,,,,
1002,0:05:15,0:05:15,3,3,,,,,,,
1002,0:03:45,0:03:45,2,2,,,,,,,
1002,0:02:00,0:02:00,1,1,,,,,,,
1001,0:15:00,0:15:00,10,10,,,,,,,
1001,0:12:45,0:12:45,9,9,,,,,,,
1001,0:11:45,0:11:45,8,8,,,,,,,
1001,0:10:00,0:10:00,7,7,,,,,,,
1001,0:07:45,0:07:45,6,6,,,,,,,
1001,0:06:15,0:06:15,5,5,,,,,,,
1001,0:04:45,0:04:45,4,4,,,,,,,
1001,0:03:15,0:03:15,3,3,,,,,,,
1001,0:01:45,0:01:45,2,2,,,,,,,
1001,0:00:00,0:00:00,1,1,,,,,,,
