trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_time,shape_dist_traveled
1001,00:00:00,00:00:00,1,1,,,,
1001,00:01:30,00:01:30,2,2,,,,
1001,00:03:00,00:03:00,3,3,,,,
1001,00:04:30,00:04:30,4,4,,,,
1001,00:06:00,00:06:00,5,5,,,,
1001,00:07:30,00:07:30,6,6,,,,
1001,00:09:00,00:09:00,7,7,,,,
1001,00:10:30,00:10:30,8,8,,,,
1001,00:12:00,00:12:00,9,9,,,,
1001,00:13:30,00:13:30,10,10,,,,
1001,00:15:00,00:15:00,1,1,,,,
1001,00:16:30,00:16:30,2,2,,,,
1001,00:18:00,00:18:00,3,3,,,,
1001,00:19:30,00:19:30,4,4,,,,
1001,00:21:00,00:21:00,5,5,,,,
1001,00:22:30,00:22:30,6,6,,,,
1001,00:24:00,00:24:00,7,7,,,,
1001,00:25:30,00:25:30,8,8,,,,
1001,00:27:00,00:27:00,9,9,,,,
1001,00:28:30,00:28:30,10,10,,,,
1001,00:30:00,00:30:00,1,1,,,,
1001,00:31:30,00:31:30,2,2,,,,
1001,00:33:00,00:33:00,3,3,,,,
1001,00:34:30,00:34:30,4,4,,,,
1001,00:36:00,00:36:00,5,5,,,,
1001,00:37:30,00:37:30,6,6,,,,
1001,00:39:00,00:39:00,7,7,,,,
1001,00:40:30,00:40:30,8,8,,,,
1001,00:42:00,00:42:00,9,9,,,,
1001,00:43:30,00:43:30,10,10,,,,
1001,00:45:00,00:45:00,1,1,,,,
1001,00:46:30,00:46:30,2,2,,,,
1001,00:48:00,00:48:00,3,3,,,,
1001,00:49:30,00:49:30,4,4,,,,
1001,00:51:00,00:51:00,5,5,,,,
1002,00:52:30,00:52:30,6,6,,,,
1003,00:54:00,00:54:00,7,7,,,,
1004,00:55:30,00:55:30,8,8,,,,
1005,00:57:00,00:57:00,9,9,,,,
1006,00:58:30,00:58:30,10,10,,,,
1002,00:02:00,00:02:00,1,1,,,,
1002,00:03:30,00:03:30,2,2,,,,
1002,00:05:00,00:05:00,3,3,,,,
1002,00:06:30,00:06:30,4,4,,,,
1002,00:08:00,00:08:00,5,5,,,,
1002,00:09:30,00:09:30,6,6,,,,
1002,00:11:00,00:11:00,7,7,,,,
1002,00:12:30,00:12:30,8,8,,,,
1002,00:14:00,00:14:00,9,9,,,,
1002,00:15:30,00:15:30,10,10,,,,
1002,00:17:00,00:17:00,1,1,,,,
